id,nombre_ciudad,id_departamento
1,ACHI,2
2,ALTOS DEL ROSARIO,2
3,ARENAL,2
4,ARJONA,2
5,ARROYOHONDO,2
6,BARANOA,1
7,BARRANCO DE LOBA,2
8,BARRANQUILLA,1
9,BETULIA ,5
10,BUENA VISTA,3
11,CALAMAR,2
12,CAMPO D LA CRUZ,1
13,CANALETE,3
14,CANDELARIA,1
15,CARMEN DE BOLIVAR,2
16,CARTAGENA,2
17,CERETE,3
18,CHALAN,5
19,CHIMA,3
20,CHINU,3
21,CICUCO,2
22,CIENAGA ,4
23,CIENAGA DE ORO,3
24,COLOSO,5
25,CORDOBA,2
26,COROZAL,5
27,COTORRA,3
28,EL BANCO ,4
30,EL GUAMO,2
31,EL PENON,2
32,EL SALADO,2
33,GALAPA,1
34,GALERAS,5
35,GUAMAL,4
36,HATILLO DE LOBA,2
37,JUAN DE ACOSTA,1
38,LA UNION ,5
39,LORICA,3
40,LOS PALMITOS,5
41,MAGANGUE,2
42,MAHATES,2
43,MAJAGUAL,5
44,MALAMBO,1
45,MARIA LA BAJA,2
46,MOMIL,3
47,MOMPOS,2
48,MONITOS,3
49,MONTECRISTO,2
50,MONTELIBANO,3
51,MONTERIA,3
52,MORROA,5
53,NOROSI,2
54,NUEVA GRANADA,4
55,OVEJAS,4
56,PALENQUE,2
57,PINILLOS,2
58,PIVIJAY,4
59,PLANETA RICA,3
60,PLATO,4
61,PUEBLO NUEVO,3
62,PUERTO ESCONDIDO,3
63,PUERTO LIBERTADOR,3
64,PURISIMA,3
65,REGIDOR,2
66,REPELON,1
67,RIO VIEJO,2
68,SABANAGRANDE,1
69,SABANALARGA,1
70,SAHAGUN,3
71,SALAMINA,4
72,SAMPUES,5
73,SAN ANDRES DE SOTAVENTO,3
74,SAN ANTERO,3
75,SAN BERNARDO DEL VIENTO,3
76,SAN CRISTOBAL ,2
77,SAN JACINTO,2
78,SAN JACINTO DEL CAUCA,2
79,SAN JUAN DE NEPUMUCENO,2
80,SAN MARCOS,5
81,SAN ONOFRE,5
82,SAN PEDRO,5
83,SAN PELAYO,3
84,SAN SEBASTIAN,2
85,SANTA ANA,4
86,SANTA MARTA,4
87,SANTA ROSA,2
88,SIMITI,2
89,SINCE,5
90,SINCELEJO,5
91,SOLEDAD,1
92,SOPLAVIENTO,2
93,SUAN,1
94,TALAIGUA NUEVO,2
95,TIERRA ALTA,3
96,TIQUISIO,2
97,TIQUISIO NUEVO,2
98,TOLU,5
99,TOLUVIEJO,5
100,TUCHIN,3
101,TURBACO,2
102,TURBANA,2
103,VILLANUEVA,2
104,ZAMBRANO,2
